###########
# Mechs A #
###########

exact "Salamander PPR-5T" "mechs/Salamander.gif"
exact "Salamander PPR-6S" "mechs/Salamander.gif"
exact "Salamander PPR-6T" "mechs/Salamander.gif"
exact "Salamander PPR-7T" "mechs/Salamander.gif"



chassis "Sasquatch" "mechs/Sasquatch.gif"

chassis "Savage Coyote" "mechs/Savage Coyote.gif"
exact "Savage Coyote A" "mechs/Savage Coyote A.gif"
exact "Savage Coyote B" "mechs/Savage Coyote B.gif"
exact "Savage Coyote C" "mechs/Savage Coyote C.gif"

chassis "Scarabus" "mechs/Scarabus.gif"

chassis "Scorpion" "mechs/Scorpion.gif"

chassis "Scylla" "mechs/Scylla.gif"

chassis "Sentinel"      "mechs/Sentinel.gif"
exact "Sentinel STN-4D" "mechs/Sentinel STN-4D.gif"

chassis "Sentry"      "mechs/Sentry.gif"
exact "Sentry SNT-W5" "mechs/Sentry SNT-W5.gif"

chassis "Seraph"                 "mechs/Seraph.gif"
exact "Seraph C-SRP-OA Dominus"  "mechs/Seraph C-SRP-OA Dominus.gif"
exact "Seraph C-SRP-OB Infernus" "mechs/Seraph C-SRP-OB Infernus.gif"
exact "Seraph C-SRP-OC Comminus" "mechs/Seraph C-SRP-OC Comminus.gif"
exact "Seraph C-SRP-OD Luminos"  "mechs/Seraph C-SRP-OD Luminos.gif"
exact "Seraph C-SRP-OE Eminus"   "mechs/Seraph C-SRP-OE Eminus.gif"

chassis "Shadow Cat" "mechs/Shadow Cat.gif"
exact "Shadow Cat A" "mechs/Shadow Cat A.gif"
exact "Shadow Cat B" "mechs/Shadow Cat B.gif"
exact "Shadow Cat C" "mechs/Shadow Cat C.gif"
exact "Shadow Cat H" "mechs/Shadow Cat H.gif"

chassis "Shadow Cat II" "mechs/Shadow Cat II.gif"

chassis "Shadow Hawk IIC" "mechs/Shadow Hawk IIC.gif"
exact "Shadow Hawk IIC 2" "mechs/Shadow Hawk IIC 2.gif"
exact "Shadow Hawk IIC 3" "mechs/Shadow Hawk IIC 3.gif"

chassis "Shadow Hawk"               "mechs/Shadow Hawk.gif"
exact "Shadow Hawk SHD-2D"          "mechs/Shadow Hawk SHD-2D.gif"
exact "Shadow Hawk SHD-2H"          "mechs/Shadow Hawk SHD-2H.gif"
exact "Shadow Hawk SHD-2H (Blazer)" "mechs/Shadow Hawk SHD-2H (Blazer).gif"
exact "Shadow Hawk SHD-2K"          "mechs/Shadow Hawk SHD-2K.gif"
exact "Shadow Hawk SHD-5D"          "mechs/Shadow Hawk SHD-5D.gif"
exact "Shadow Hawk SHD-5M"          "mechs/Shadow Hawk SHD-5M.gif"
exact "Shadow Hawk SHD-7M"          "mechs/Shadow Hawk SHD-7M.gif"

chassis "Sha Yu"      "mechs/Sha Yu.gif"
exact "Sha Yu SYU-4B" "mechs/Sha Yu SYU-4B.gif"

chassis "Shen Yi" "mechs/Shenyi.gif"

chassis "Shockwave" "mechs/Shockwave.gif"

chassis "Shogun" "mechs/Shogun.gif"

chassis "Shogun C" "mechs/Shogun C.gif"

chassis "Shootist"     "mechs/Shootist.gif"
exact "Shootist ST-8A" "mechs/Shootist ST-8A.gif"

chassis "Shugenja" "mechs/Shugenja.gif"

chassis "Silver Fox" "mechs/Silverfox.gif"

chassis "Sirocco" "mechs/Sirocco.gif"

chassis "Sling" "mechs/Sling.gif"

chassis "Snake" "mechs/Snake.gif"

chassis "Snow Fox" "mechs/Snow Fox.gif"
exact "Snow Fox 2" "mechs/Snow Fox 2.gif"
exact "Snow Fox 3" "mechs/Snow Fox 3.gif"

chassis "Solitaire" "mechs/Solitaire.gif"

chassis "Spartan" "mechs/Spartan.gif"

chassis "Spector" "mechs/Spector.gif"

chassis "Spider" "mechs/Spider.gif"

chassis "Spirit" "mechs/Spirit.gif"

chassis "Stalker"      "mechs/Stalker.gif"
exact "Stalker STK-3H" "mechs/Stalker STK-3H.gif"
exact "Stalker STK-4N" "mechs/Stalker STK-4N.gif"
exact "Stalker STK-4P" "mechs/Stalker STK-4P.gif"
exact "Stalker STK-7D" "mechs/Stalker STK-7D.gif"

chassis "Stalking Spider" "mechs/Stalking Spider.gif"

chassis "Starslayer" "mechs/Starslayer.gif"

chassis "Stealth" "mechs/Stealth.gif"

chassis "Stiletto"      "mechs/Stiletto.gif"
exact "Stiletto STO-4B" "mechs/Stiletto STO-4B.gif"
exact "Stiletto STO-6X" "mechs/Stiletto STO-6X.gif"

chassis "Stinger LAM" "mechs/Stinger LAM.gif"

chassis "Stinger"       "mechs/Stinger.gif"
exact "Stinger STG-3G"  "mechs/Stinger STG-3G.gif"
exact "Stinger STG-3R"  "mechs/Stinger STG-3R.gif"
exact "Stinger STG-3RR" "mechs/Stinger STG-3RR.gif"
exact "Stinger STG-6L"  "mechs/Stinger STG-6L.gif"

chassis "Stone Rhino" "mechs/Stone Rhino.gif"
exact "Stone Rhino 2" "mechs/Stone Rhino 2.gif"
exact "Stone Rhino 3" "mechs/Stone Rhino 3.gif"

chassis "Stooping Hawk" "mechs/Stooping Hawk.gif"
exact "Stooping Hawk A" "mechs/Stooping Hawk A.gif"
exact "Stooping Hawk B" "mechs/Stooping Hawk B.gif"
exact "Stooping Hawk C" "mechs/Stooping Hawk C.gif"
exact "Stooping Hawk D" "mechs/Stooping Hawk D.gif"
exact "Stooping Hawk E" "mechs/Stooping Hawk E.gif"

chassis "Strider"      "mechs/Strider.gif"
exact "Strider SR1-OA" "mechs/Strider SR1-OA.gif"
exact "Strider SR1-OB" "mechs/Strider SR1-OB.gif"
exact "Strider SR1-OC" "mechs/Strider SR1-OC.gif"
exact "Strider SR1-OD" "mechs/Strider SR1-OD.gif"
exact "Strider SR1-OE" "mechs/Strider SR1-OE.gif"
exact "Strider SR1-OF" "mechs/Strider SR1-OF.gif"

chassis "Striker" "mechs/Striker.gif"

chassis "Summoner"  "mechs/Summoner.gif"
exact "Summoner A"  "mechs/Summoner A.gif"
exact "Summoner B"  "mechs/Summoner B.gif"
exact "Summoner C"  "mechs/Summoner C.gif"
exact "Summoner D"  "mechs/Summoner D.gif"
exact "Summoner E"  "mechs/Summoner E.gif"
exact "Summoner G"  "mechs/Summoner G.gif"
exact "Summoner H"  "mechs/Summoner H.gif"
exact "Summoner HH" "mechs/Summoner HH.gif"
exact "Summoner M"  "mechs/Summoner M.gif"

chassis "Sun Cobra" "mechs/Sun Cobra.gif"

chassis "Sunder"      "mechs/Sunder.gif"
exact "Sunder SD1-OA" "mechs/Sunder SD1-OA.gif"
exact "Sunder SD1-OB" "mechs/Sunder SD1-OB.gif"
exact "Sunder SD1-OC" "mechs/Sunder SD1-OC.gif"
exact "Sunder SD1-OD" "mechs/Sunder SD1-OD.gif"

chassis "Super Griffin" "mechs/Super Griffin.gif"

chassis "Supernova" "mechs/Supernova.gif"
exact "Supernova 2" "mechs/Supernova 2.gif"

chassis "Super Wasp" "mechs/Super Wasp.gif"


###########
# Mechs T #
###########

chassis "Tai-sho" "mechs/Taisho.gif"

chassis "Talon" "mechs/Talon.gif"

chassis "Talos" "mechs/Talos.gif"

chassis "Tarantula"      "mechs/Tarantula.gif"
exact "Tarantula ZPH-4A" "mechs/tarantula_4A.gif"

chassis "Targe" "mechs/Targe.gif"

chassis "Tempest" "mechs/Tempest.gif"

chassis "Templar"              "mechs/Templar.gif"
exact "Templar CRD-1G"         "mechs/Templar CRD-1G.gif"
exact "Templar CRD-6T"         "mechs/Templar CRD-6T.gif"
exact "Templar TLR1-OA"        "mechs/Templar TLR1-OA.gif"
exact "Templar TLR1-OB"        "mechs/Templar TLR1-OB.gif"
exact "Templar TLR1-OC"        "mechs/Templar TLR1-OC.gif"
exact "Templar Tancred TLR1-O" "mechs/Templar Tancred TLR1-O.gif"
exact "Templar Grayson TLR1-O" "mechs/Templar Grayson TLR1-O.gif"

chassis "Tessen" "mechs/Tessen.gif"

chassis "Thanatos" "mechs/Thanatos.gif"

chassis "Thorn" "mechs/Thorn.gif"

chassis "Thresher" "mechs/Thresher.gif"

chassis "Thug" "mechs/Thug.gif"

chassis "Thunder" "mechs/Thunder.gif"

chassis "Thunderbolt"        "mechs/Thunderbolt.gif"
exact "Thunderbolt TDR-5RWR" "mechs/Thunderbolt TDR-5RWR.gif"
exact "Thunderbolt TDR-5SE"  "mechs/Thunderbolt TDR-5SE.gif"
exact "Thunderbolt TDR-5SS"  "mechs/Thunderbolt TDR-5SS.gif"
exact "Thunderbolt TDR-9SE"  "mechs/Thunderbolt TDR-9SE.gif"
exact "Thunderbolt TDR-9S"   "mechs/Thunderbolt TDR-9S.gif"
exact "Thunderbolt TDR-10SE" "mechs/Thunderbolt TDR-10SE.gif"

chassis "Thunder Hawk" "mechs/Thunder Hawk.gif"
exact "Thunder Hawk TDK-7X" "mechs/Thunder Hawk TDK-7X.gif"
exact "Thunder Hawk TDK-7Y" "mechs/Thunder Hawk TDK-7Y.gif"

chassis "Thunder Stallion" "mechs/Thunder Stallion.gif"
exact "Thunder Stallion 3" "mechs/Thunder Stallion 3.gif"

chassis "Timber Wolf" "mechs/Timber Wolf.gif"
exact "Timber Wolf A" "mechs/Timber Wolf A.gif"
exact "Timber Wolf B" "mechs/Timber Wolf B.gif"
exact "Timber Wolf C" "mechs/Timber Wolf C.gif"
exact "Timber Wolf D" "mechs/Timber Wolf D.gif"

chassis "Timber Wolf II" "mechs/Timber Wolf II.gif"

chassis "Titan" "mechs/Titan.gif"

chassis "Titan II"      "mechs/Titan II.gif"
exact "Titan II TI-2PA" "mechs/Titan II TI-2PA.gif"

chassis "Ti Ts'ang" "mechs/Ti Ts'ang.gif"

chassis "Ti Ts'ang DDC" "mechs/Ti Ts'ang DDC.gif"

chassis "Toro" "mechs/Toro.gif"

chassis "Toyama" "mechs/Toyama.gif"

chassis "Trebuchet"      "mechs/Trebuchet.gif"
exact "Trebuchet TBT-5J" "mechs/Trebuchet TBT-5J.gif"
exact "Trebuchet TBT-5K" "mechs/Trebuchet TBT-5K.gif"
exact "Trebuchet TBT-5S" "mechs/Trebuchet TBT-5S.gif"
exact "Trebuchet TBT-7A" "mechs/Trebuchet TBT-7A.gif"
exact "Trebuchet TBT-7M" "mechs/Trebuchet TBT-7M.gif"
exact "Trebuchet TBT-9K" "mechs/Trebuchet TBT-9K.gif"

chassis "Tsunami" "mechs/Tsunami.gif"

chassis "Tundra Wolf" "mechs/Tundra Wolf.gif"

chassis "Turkina" "mechs/Turkina.gif"
exact "Turkina A" "mechs/Turkina A.gif"
exact "Turkina B" "mechs/Turkina B.gif"
exact "Turkina C" "mechs/Turkina C.gif"
exact "Turkina D" "mechs/Turkina D.gif"
exact "Turkina H" "mechs/Turkina H.gif"


###########
# Mechs U #
###########

chassis "UrbanMech IIC" "mechs/UrbanMech IIC.gif"
exact "UrbanMech IIC 2" "mechs/UrbanMech IIC 2.gif"

chassis "UrbanMech"               "mechs/UrbanMech.gif"
exact "UrbanMech UM-R60 (Quazer)" "mechs/UrbanMech UM-R60 (Quazer).gif"
exact "Urbanmech UM-R60L"         "mechs/Urbanmech UM-R60L.gif"
exact "Urbanmech UM-R70"          "mechs/Urbanmech UM-R70.gif"

chassis "Ursus" "mechs/Ursus.gif"
exact "Ursus 2" "mechs/Ursus 2.gif"

chassis "Ursus II" "mechs/Ursus II.gif"

chassis "Uziel" "mechs/Uziel.gif"


###########
# Mechs V #
###########

chassis "Valiant" "mechs/Valiant.gif"

chassis "Valkyrie" "mechs/Valkyrie.gif"
exact "Valkyrie VLK-QF" "mechs/Valkyrie VLK-QF.gif"

exact "Vandal VD-1X" "mechs/Vandal VD-1X.gif"

chassis "Vanquisher" "mechs/Vanquisher.gif"
exact "Vanquisher VQR-2B" "mechs/Vanquisher VQR-2B.gif"

chassis "Vapor Eagle" "mechs/Vapor Eagle.gif"
exact "Vapor Eagle 3" "mechs/Vapor Eagle 3.gif"
exact "Vapor Eagle 4" "mechs/Vapor Eagle 4.gif"

chassis "Vapor Eagle II" "mechs/Vapor Eagle II.gif"

chassis "Venom" "mechs/Venom.gif"

chassis "Verfolger" "mechs/Verfolger.gif"

chassis "Victor"       "mechs/Victor.gif"
exact "Victor VTR-9S"  "mechs/Victor VTR-9S.gif"
exact "Victor VTR-10L" "mechs/Victor VTR-10L.gif"
exact "Victor VTR-9K"  "mechs/Victor VTR-9K.gif"

chassis "Viking"      "mechs/Viking.gif"
exact "Viking VKG-2G" "mechs/Viking VKG-2G.gif"
exact "Viking VKG-3A" "mechs/Viking VKG-3A.gif"
exact "Viking VKG-3W" "mechs/Viking VKG-3W.gif"

chassis "Vindicator" "mechs/Vindicator.gif"

chassis "Vindicator Dao" "mechs/Vindicator Dao.gif"

chassis "Viper" "mechs/Viper.gif"
exact "Viper A" "mechs/Viper A.gif"
exact "Viper B" "mechs/Viper B.gif"
exact "Viper C" "mechs/Viper C.gif"
exact "Viper D" "mechs/Viper D.gif"
exact "Viper E" "mechs/Viper E.gif"
exact "Viper F" "mechs/Viper F.gif"
exact "Viper G" "mechs/Viper G.gif"
exact "Viper H" "mechs/Viper H.gif"
exact "Viper I" "mechs/Viper I.gif"

chassis "Volkh" "mechs/Volkh.gif"

chassis "Von Rohrs" "mechs/Von Rohrs.gif"

chassis "Vulcan" "mechs/Vulcan.gif"
exact "Vulcan VL-2T" "mechs/Vulcan VL-2T.gif"
exact "Vulcan VL-2TR" "mechs/Vulcan VL-2TR.gif"
exact "Vulcan VL-5T" "mechs/Vulcan VL-5T.gif"
exact "Vulcan VT-5M" "mechs/Vulcan VL-5M.gif"
exact "Vulcan VT-5S" "mechs/Vulcan VL-5S.gif"
exact "Vulcan VT-6C" "mechs/Vulcan VL-6C.gif"
exact "Vulcan VT-6M" "mechs/Vulcan VL-6M.gif"


###########
# Mechs W #
###########

chassis "War Dog"          "mechs/War Dog.gif"
exact "War Dog WR-DG-03FC" "mechs/War Dog WR-DG-03FC.gif"

chassis "Warhammer IIC" "mechs/Warhammer IIC.gif"
exact "Warhammer IIC 2" "mechs/Warhammer IIC 2.gif"
exact "Warhammer IIC 3" "mechs/Warhammer IIC 3.gif"
exact "Warhammer IIC 4" "mechs/Warhammer IIC 4.gif"
exact "Warhammer IIC 5" "mechs/Warhammer IIC 5.gif"
exact "Warhammer IIC 6" "mechs/Warhammer IIC 6.gif"

chassis "Warhammer"        "mechs/Warhammer.gif"
exact "Warhammer WHM-6D"   "mechs/Warhammer WHM-6D.gif"
exact "Warhammer WHM-9D"   "mechs/Warhammer WHM-9D.gif"
exact "Warhammer WHD-10CT" "mechs/Warhammer WHD-10CT.gif"

chassis "Warhawk" "mechs/Warhawk.gif"
exact "Warhawk A" "mechs/Warhawk A.gif"
exact "Warhawk B" "mechs/Warhawk B.gif"
exact "Warhawk C" "mechs/Warhawk C.gif"
exact "Warhawk D" "mechs/Warhawk D.gif"
exact "Warhawk E" "mechs/Warhawk E.gif"
exact "Warhawk H" "mechs/Warhawk H.gif"

Chassis "Warlord" "mechs/Warlord.gif"

chassis "Wasp LAM" "mechs/Wasp LAM.gif"

chassis "Wasp" "mechs/Wasp.gif"
exact "Wasp WSP-1L" "mechs/Wasp WSP-1L.gif"
exact "Wasp WSP-1W" "mechs/Wasp WSP-1W.gif"
exact "Wasp WSP-3W" "mechs/Wasp WSP-3W.gif"

chassis "Watchman" "mechs/Watchman.gif"

chassis "Weapon Armed Mech" "mechs/Weapon Armed Mech.gif"

chassis "Werewolf" "mechs/Werewolf.gif"

chassis "White Flame" "mechs/White Flame.gif"

chassis "Whitworth"       "mechs/Whitworth.gif"
exact "Whitworth WTH-1S"  "mechs/Whitworth WTH-1S.gif"
exact "Whitworth WTH-1SR" "mechs/Whitworth WTH-1SR.gif"

chassis "Wight" "mechs/Wight.gif"

chassis "Wolfhound IIC" "mechs/Wolfhound IIC.gif"

chassis "Wolfhound"      "mechs/Wolfhound.gif"
exact "Wolfhound WLF-2X" "mechs/Wolfhound WLF-2X.gif"

chassis "Wolf Trap" "mechs/Wolf Trap.gif"

chassis "Wolverine IIC" "mechs/Wolverine IIC.gif"

chassis "Wolverine"      "mechs/Wolverine.gif"
exact "Wolverine WVR-6K" "mechs/Wolverine WVR-6K.gif"
exact "Wolverine WVR-6M" "mechs/Wolverine WVR-6M.gif"
exact "Wolverine WVR-7K" "mechs/Wolverine WVR-7K.gif"
exact "Wolverine WVR-8C" "mechs/Wolverine WVR-8C.gif"

chassis "Wolverine II" "mechs/Wolverine II.gif"

chassis "Woodsman" "mechs/Woodsman.gif"
exact "Woodsman A" "mechs/Woodsman A.gif"

chassis "Wraith" "mechs/Wraith.gif"

chassis "Wyvern IIC" "mechs/Wyvern IIC.gif"

chassis "Wyvern" "mechs/Wyvern.gif"


###########
# Mechs X #
###########

chassis "Xanthos" "mechs/Xanthos.gif"


###########
# Mechs Y #
###########

chassis "Yao Lien" "mechs/Yao Lien.gif"

chassis "Yeoman" "mechs/Yeoman.gif"

chassis "Ymir"      "mechs/Ymir.gif"
exact "Ymir BWP-2E" "mechs/Ymir BWP-2E.gif"
exact "Ymir BWP-3A" "mechs/Ymir BWP-3A.gif"

chassis "Yu Huang" "mechs/Yu Huang.gif"


###########
# Mechs Z #
###########

chassis "Zeus"      "mechs/Zeus.gif"
exact "Zeus ZEU-6T" "mechs/Zeus ZEU-6T.gif"
exact "Zeus ZEU-9S" "mechs/Zeus ZEU-9S.gif"
exact "Zeus ZEU-9T" "mechs/Zeus ZEU-9T.gif"

chassis "Zeus X" "mechs/Zeus X.gif"
